iter	Passed	Remaining
299	1332	3109
301	1355	3132
302	1369	3150
303	1370	3138
304	1371	3126
305	1373	3115
305	1394	3163
306	1406	3174
307	1409	3167
308	1430	3198
309	1432	3189
310	1435	3180
311	1439	3173
312	1450	3182
313	1451	3171
314	1452	3159
315	1454	3147
316	1456	3137
317	1457	3125
318	1473	3145
319	1481	3148
320	1483	3137
321	1493	3145
322	1496	3136
323	1517	3165
324	1519	3156
325	1521	3145
326	1522	3132
327	1525	3125
328	1528	3117
329	1540	3127
330	1542	3117
331	1545	3110
332	1555	3116
333	1559	3110
334	1560	3098
335	1562	3087
336	1567	3083
337	1569	3074
338	1571	3063
339	1575	3057
340	1576	3046
341	1580	3041
342	1608	3081
343	1609	3070
344	1611	3058
345	1611	3046
346	1614	3037
347	1636	3066
348	1640	3060
349	1653	3070
350	1683	3112
351	1686	3105
352	1689	3096
353	1691	3086
354	1692	3075
355	1693	3064
356	1695	3052
357	1696	3041
358	1698	3032
359	1700	3022
360	1703	3014
361	1706	3007
362	1734	3043
363	1735	3031
364	1736	3021
365	1738	3011
366	1749	3016
367	1750	3005
368	1754	3000
369	1758	2994
370	1785	3026
371	1786	3015
372	1787	3004
373	1789	2995
374	1790	2984
375	1793	2975
376	1796	2968
377	1841	3030
378	1844	3022
379	1859	3033
380	1861	3023
381	1862	3012
382	1867	3007
383	1869	2999
384	1874	2994
385	1876	2985
386	1890	2993
387	1891	2983
388	1894	2975
389	1895	2965
390	1914	2981
391	1916	2972
392	1928	2979
393	1930	2969
394	1931	2959
395	1933	2949
396	1934	2938
397	1946	2944
398	1948	2935
399	1949	2924
400	1950	2914
401	1952	2903
402	1953	2893
403	1955	2884
404	1957	2875
405	1958	2865
406	1960	2856
407	1962	2848
408	1976	2856
409	1979	2848
410	1981	2839
411	1983	2830
412	1986	2822
413	1987	2813
414	1989	2804
415	1990	2794
416	1991	2784
417	1992	2774
418	1993	2764
419	1995	2755
420	1997	2746
421	2015	2760
422	2016	2750
423	2018	2741
424	2020	2733
425	2022	2724
426	2023	2715
